sample,fastq_1
RBFOX2_IP1,/g/hentze/projects/eCLIP/Benchmark/ENCODE/RBFOX2/fa/sample_RBFOX2_IP1_ENCFF930TLO_1.fq.gz
RBFOX2_IP2,/g/hentze/projects/eCLIP/Benchmark/ENCODE/RBFOX2/fa/sample_RBFOX2_IP2_ENCFF163QEA_1.fq.gz
RBFOX2_SMI,/g/hentze/projects/eCLIP/Benchmark/ENCODE/RBFOX2/fa/sample_RBFOX2_SMI_ENCFF495WQA_1.fq.gz
